chapter,shlok,text,list_metaphors,count_metaphors,refined,verb_refined,count_met_ref,count_verb_ref
2,1,"  To Arjuna, thus overcome with compassion, sorrowing, and his eyes  obscured by flowing tears, Krishna spoke these words:  The Lord Said:   ","['To', 'with', 'obscur', 'flow', 'these', 'Lord']",6,"['obscur', 'flow', 'Lord']",[],3,0
2,2,"  How is it that at this perilous moment this delusion, unworthy of the noble,  leading neither to heaven nor to glory, has overtaken you?   ","['at this', 'this', 'unworthy', 'leading', 'to', 'to', 'over']",7,"['at this', 'unworthy', 'leading']",['leading'],3,1
2,3,"  Yield not to unmanliness, O Arjuna; it does not become you. Shake off this  miserable faint-heartedness and arise, O Arjuna!  Arjuna Said:   ","['to', 'become', 'Shak', 'off this', 'rise']",5,"['become', 'Shak', 'off this', 'rise']",[],4,0
2,4,"  How shall I, with arrows, engage Bhishma and Drona in battle, O  Krishna, they who are worthy of reverence, O Krishna?   ",['in'],1,[],[],0,0
2,5,  It were better far to live on alms of this world than to slay these venerable  elders. Having slain them I should but have blood-stained enjoyments.   ,"['far', 'on alms', 'this', 'these venera', 'have blood-stained']",5,"['far', 'on alms', 'these venera', 'have blood-stained']",['have blood-stained'],4,1
2,6,"  Nor do we know which is better for us, that we conquer them or that they  conquer us, for here stand before us Dhritarashtra's sons having killed whom  we should have no desire to live.     ","['quer', 'quer', 'stand before', 'have']",4,"['quer', 'quer', 'stand before', 'have']",['have'],4,1
2,7,"  My being is paralysed by faint-heartedness; my mind discerns not duty;  hence I ask you; tell me, I pray you, in no uncertain language, wherein lies my  good. I am your disciple; guide me; I see refuge in you.   ","['paraly', 'discern', 'in', 'in lies', 'see refuge in']",5,"['paraly', 'discern', 'in lies', 'see refuge in']",['see refuge in'],4,1
2,8,  For I see nothing that can dispel the anguish that shrivels up my senses even  if I should win on earth uncontested sovereignty over a thriving kingdom or  lordship over the gods.  Sanjaya Said:   ,"['see', 'spel', 'shrivels up', 'on', 'con', 'over', 'thriving', 'over']",8,"['see', 'spel', 'shrivels up', 'con', 'thriving']","['see', 'thriving']",5,2
2,9,"  Thus spoke Arjuna Arjuna to Krishna Krishna, and with the  words 'I will not fight' became speechless.   ","['to', 'with']",2,[],[],0,0
2,10,"  To him thus stricken with anguish, O Arjuna! between the two armies,  Krishna, as though mocking, addressed these words:  The Lord Said:   ","['To', 'stricken with', 'address', 'these']",4,"['stricken with', 'address']",['stricken with'],2,1
2,11,  You mourn for them whom you should not mourn and utterest vain  words of wisdom. The wise mourn neither for the living nor for the dead.   ,[],0,[],[],0,0
2,12,"  For never was I not, nor you, nor these kings; nor will any of us cease to be  hereafter.   ",['these'],1,[],[],0,0
2,13,"  As the embodied one has, in the present body, infancy, youth and age, even  so does he receive another body. The wise man is not deceived therein.   ","['has', 'in', 'present', 'therein']",4,"['has', 'present', 'therein']",['has'],3,1
2,14,"  O Arjuna! Contacts of the senses with their objects bring cold and heat,  pleasure and pain; they come and go and are transient. Endure them, O  Arjuna.   ","['Contact', 'with', 'bring', 'come', 'go']",5,"['Contact', 'bring', 'come', 'go']","['come', 'go']",4,2
2,15,"  O noblest of men, the wise man who is not disturbed by these, who is  unmoved by pleasure and pain, he is fitted for immortality.   ","['blest', 'these', 'fitte']",3,"['blest', 'fitte']",[],2,0
2,16,"  What is non-Being is never known to have been, and what is Being is never  known not to have been. Of both these the secret has been seen by the seers of  the Truth.   ","['these', 'seen', 'seers']",3,"['seen', 'seers']",['seen'],2,1
2,17,  Know that to be imperishable whereby all this is pervaded. No one can  destroy that immutable being.   ,"['this', 'that', 'mu']",3,['mu'],[],1,0
2,18,"  These bodies of the embodied one who is eternal, imperishable and  immeasurable are finite. Fight, therefore, O Arjuna.   ","['These bo', 'Fight']",2,"['These bo', 'Fight']",[],2,0
