chapter,shlok,text,id,list_metaphors,count_metaphors,refined,verb_refined,count_met_ref,count_verb_ref
1,1," Dhrtarastra said  On the holy field of Kuruksetra, gathered together eager for battle, what did my people and the Pandavas do, O Sanjaya?",1.1,[],0,[],[],0,0
1,2," Sanjaya said   King Duryodhana, on seeing the Pandava army in battle array, approached his teacher Drona and said these words:",1.2,"['on', 'in', 'these']",3,[],[],0,0
1,3," Behold, O teacher, this mighty army of the Pandavas, arrayed by the son of Drupada, your intelligent disciple.",1.3,"['hold', 'this might']",2,"['hold', 'this might']",['this might'],2,1
1,4," There (in that army) are heroes, great bowmen, like Bhima and Arjuna; Yuyudhana,Virata and Drupada a mighty warrior;",1.4,"['in that', '']",2,['in that'],[],1,0
1,5," Dhrstaketu, Cekitana, and the valiant king of Kasi; Purujit and Kuntibhoja, and Saibya the best among men;",1.5,[],0,[],[],0,0
1,6," Yudhamanyu the valiant, and Uttamaujas the strong; and also the son of Subhadra and the sons of Draupadi, all mighty warriors.",1.6,[],0,[],[],0,0
1,7," Know, O best of Brahmanas, those who are important on our side - those who are the commanders of my army. I shall name them to refresh your memory.",1.7,"['those', 'on', 'side', 'those', 'refresh']",5,"['side', 'refresh']",[],2,0
1,8," Yourself, Bhisma and Karna, the victorious Krpa, Asvatthama, Vikarna and Jayadratha the son of Somadatta;",1.8,[],0,[],[],0,0
1,9, And there are many other heroes who are determined to give up their lives for my sake. They all are experts in using manifold missiles and are dexterous in battle.,1.9,"['in', 'in']",2,[],[],0,0
1,10," Inadequate is this force of ours, which is guarded by Bhisma, while adequate is that force of theirs, which is guarded by Bhima.",1.10,"['this force', 'guarded', 'that force', 'guard']",4,"['this force', 'guarded', 'that force', 'guard']",['guarded'],4,1
1,11," Therefore all of you taking your places firmly in your respective divisions, guard Bhisma at all cost.",1.11,"['taking', 'places firm', 'in', 'at']",4,"['taking', 'places firm']",['taking'],2,1
1,12," Then the valiant grandsire Bhisma, seniormost of the Kuru clan, roaring like a lion, blew his conch with a view to cheer up Duryodhana.",1.12,"['senior', 'ro', 'lion', 'ble', 'with']",5,"['senior', 'ro', 'lion', 'ble']",[],4,0
1,13," Then suddenly conchs and kettle drums, trumpets, tabors and blow horns blared forth; and the sound was terrific.",1.13,['bla'],1,['bla'],[],1,0
1,14," Then Sri Krsna and Arjuna, stationed in their great chariot yoked with white horses, blew their divine conchs.",1.14,"['yok', 'ble']",2,"['yok', 'ble']",[],2,0
1,15," Sri Krsna blew his conch, Pancajanya, Arjuna his Devadatta and Bhima of terrible deeds his great conch Paundra.",1.15,"['ble', 'great']",2,"['ble', 'great']",[],2,0
1,16, King Yudhisthira the son of Kunti blew his conch Anantavijaya and Nakula and Sahadeva blew their conchs Sughosa and Manipuspaka.,1.16,[],0,[],[],0,0
1,17," And the King of Kasi the supreme bowman, Sikandi the mighty warrior, Dhrstadyumna and Virata; and Satyaki the invincible;",1.17,[],0,[],[],0,0
1,18," Drupada and the sons of Draupadi, and the strong-armed son of Subhadra - all, O King, blew their several conchs again and again.",1.18,['ble'],1,['ble'],[],1,0
1,19," And that tumultuous uproar, resounding through heaven and earth, rent the hearts of Dhrtarastra's sons.",1.19,"['that', 'resounding through', 'rent', 'heart']",4,"['resounding through', 'rent', 'heart']",['resounding through'],3,1
1,20," Then Arjuna, who had Hanuman as his banner crest, on beholding the sons of Dhrtarastra in array, took up his bow, while missiles were beginning to fly.",1.20,"['crest', 'on behold', 'in']",3,"['crest', 'on behold']",[],2,0
1,21," And he spoke, O lord of earth, these words to Sri Krsna... Arjuna said: ...Draw up my chariot, O Krsna, between the two armies,",1.21,"['these', 'to']",2,[],[],0,0
1,22, So that I may have a good look at those who are standing eager to fight and know with whom I have to fight in this enterprise of war.,1.22,"['have', 'at', 'in this']",3,"['have', 'in this']",['have'],2,1
1,23, I wish to see those gathered here ready to fight in this battle in order to please the evil-minded son of Dhrtarastra.,1.23,"['those', 'in this']",2,['in this'],[],1,0
1,24," - 1.25 Sanjaya said: Thus addressed by Arjuna, Sri Krsna drew up that best of chariots between the two armies before the view of Bhisma and Drona and all the other kings, O Dhrtarastra, and said, 'O Arjuna, behold these assembled Kauravas.'",1.24,"['that', 'before', 'hold these']",3,['hold these'],['hold these'],1,1
1,25," - 1.25 Sanjaya said: Thus addressed by Arjuna, Sri Krsna drew up that best of chariots between the two armies before the view of Bhisma and Drona and all the other kings, O Dhrtarastra, and said, 'O Arjuna, behold these assembled Kauravas.'",1.24,"['that', 'before', 'hold these']",3,['hold these'],['hold these'],1,1
1,26," Then as Arjuna looked on, he saw standing there fathers and grand-fathers, teachers, uncles, brothers, sons, grandsons and comrades;",1.26,[],0,[],[],0,0
1,27," Fathers-in-law and dear friends in both armies. When Arjuna saw all these kinsmen in array,",1.27,"['in', 'these', 'in array']",3,['in array'],[],1,0
1,28," He was filled with deep compassion and said these words in despair :...Arjuna said:...O Krsna, when I look on these, my kinsmen present here, eager for battle,",1.28,"['filled with deep', 'these', 'in', 'look on these']",4,"['filled with deep', 'look on these']",['filled with deep'],2,1
1,29," My limbs are weakened, my mouth gets parched, my body trembles and my hairs stand erect.",1.29,"['we', 'stand']",2,"['we', 'stand']",[],2,0
1,30, The bow Gandiva slips from my hand and my skin is burning. I can stand no longer. My mind seems to reel.,1.30,"['bow', 'reel']",2,"['bow', 'reel']",[],2,0
1,31," I see, Krsna, inauspicious omens. I foresee no good in killing my kinsmen in the fight.",1.31,"['see', 'omen', 'in', 'in', 'fight']",5,"['see', 'omen', 'fight']",['see'],3,1
1,32," I desire no victory, nor empire, nor pleasures. What have we to do with empire, O Krsna, or enjoyment or even life ?",1.32,['with'],1,[],[],0,0
1,33," Those for whose sake we do desire empire, enjoyment and pleasures, stand here in war renouncing life and wealth----",1.33,"['Those', 'in']",2,[],[],0,0
1,34," Teachers, fathers, sons and also grandfathers, uncles, fathers-in-law and grandsons, brothers-in-law and other kinsmen---",1.34,[],0,[],[],0,0
1,35," These I would not slay, though they might slay me, even for the sovereignty of the three worlds - how much less for this earth O Krsna?",1.35,"['These', 'slay', 'this']",3,['slay'],[],1,0
1,36," If we kill the sons of Dhrtarastra, what joy will be ours, O Krsna? Sin alone will accrue to us if we kill these murderous felons.",1.36,"['to', 'these']",2,[],[],0,0
1,37," Therefore, it is not befitting that we slay our kin, the sons of Dhrtarastra. For if we kill our kinsmen, O Krsna, how indeed can we be happy?",1.37,['fi'],1,['fi'],[],1,0
1,38," Though these people, whose minds are overpowered by greed, see no evil in the destruction of a clan and no sin in treachery to friends,",1.38,"['these', 'overpower', 'see', 'in', 'destruction', 'in', 'to']",7,"['overpower', 'see', 'destruction']",['see'],3,1
1,39," Why should we not learn to shun this crime - we who see the evil of ruining a clan, O Krsna?",1.39,"['this', 'see']",2,['see'],['see'],1,1
1,40," With the ruin of a clan, perish its ancient traditions, and when traditions perish, lawlessness overtakes the whole clan",1.40,"['With', 'ruin of', 'perish', 'perish', 'overtak']",5,"['ruin of', 'perish', 'perish', 'overtak']",[],4,0
1,41," When lawlessness prevails, O Krsna, the women of the clan become corrupt; when women become corrupt, there arises intermixture of classes.",1.41,"['ils', 'arises intermixture']",2,"['ils', 'arises intermixture']",[],2,0
1,42," This mixing of classes leads to hell the clan itself and its destroyers; for the spirits of their ancestors fall degraded, deprived of the ritual offerings of food and water.",1.42,"['This mixing', 'lead', 'to', 'destroyers', 'spirit', 'fall', 'depri']",7,"['This mixing', 'lead', 'destroyers', 'spirit', 'fall', 'depri']",[],6,0
1,43," By the sins of the clan-destroyers who bring about inter-mixture of classes, the ancient traditions of the clan and class are destroyed.",1.43,"['mixture', 's', 'destroy']",3,"['mixture', 's', 'destroy']",[],3,0
1,44," For those whose clan-laws are destroyed, dwelling in hell is ordained, O Krsna; thus have we heard.",1.44,"['laws', 'destroy', 'in']",3,"['laws', 'destroy']",[],2,0
1,45, Alas! We have resolved to commit a great sin in that we are ready to slay our kith and kin out of desire for sovereignty and enjoyments.,1.45,"['commit', 'great', 'in', 's']",4,"['commit', 'great', 's']",[],3,0
1,46," If the well-armed sons of Dhrtarastra should slay me in battle, unresisting and unarmed, that will be better for me.",1.46,"['in', 'that']",2,[],[],0,0
1,47," Sanjaya said : Having spoken thus on the battle-field, Arjuna threw aside his how and arrows and sat down on the seat of the chariot, his heart overwhelmed with grief.",1.47,['overwhelmed with'],1,['overwhelmed with'],['overwhelmed with'],1,1
