,verse,chapter,num,list_metaphors,count_metaphors,refined,verb_refined,count_met_ref,count_verb_ref
0,now when jesus saw the crowds he went up on a mountainside and sat down. his disciples came to him,5,1,[],0,[],[],0,0
1,and he began to teach them. he said,5,2,[],0,[],[],0,0
2,blessed are the poor in spirit for theirs is the kingdom of heaven.,5,3,"['in', 'kingdom']",2,['kingdom'],[],1,0
3,blessed are those who mourn for they will be comforted.,5,4,[],0,[],[],0,0
4,blessed are the meek for they will inherit the earth.,5,5,[],0,[],[],0,0
5,blessed are those who hunger and thirst for righteousness for they will be filled.,5,6,['filled'],1,['filled'],['filled'],1,1
6,blessed are the merciful for they will be shown mercy.,5,7,['shown'],1,['shown'],['shown'],1,1
7,blessed are the pure in heart for they will see god.,5,8,"['in', 'see']",2,['see'],['see'],1,1
8,blessed are the peacemakers for they will be called children of god.,5,9,[],0,[],[],0,0
9,blessed are those who are persecuted because of righteousness for theirs is the kingdom of heaven.,5,10,['those'],1,[],[],0,0
10,blessed are you when people insult you persecute you and falsely say all kinds of evil against you because of me.,5,11,['against'],1,[],[],0,0
11,rejoice and be glad because great is your reward in heaven for in the same way they persecuted the prophets who were before you.,5,12,"['great', 'reward in', 'in', 'way', 'before']",5,"['great', 'reward in', 'way']",[],3,0
12,you are the salt of the earth. but if the salt loses its saltiness how can it be made salty again it is no longer good for anything except to be thrown out and trampled underfoot.,5,13,['los'],1,['los'],[],1,0
13,you are the light of the world. a town built on a hill cannot be hidden.,5,14,"['light', 'hidden']",2,"['light', 'hidden']",[],2,0
14,neither do people light a lamp and put it under a bowl. instead they put it on its stand and it gives light to everyone in the house.,5,15,"['gives', 'to']",2,['gives'],['gives'],1,1
15,in the same way let your light shine before others that they may see your good deeds and glorify your father in heaven.,5,16,"['in', 'way', 'light shine before']",3,"['way', 'light shine before']",[],2,0
16,do not think that i have come to abolish the law or the prophets i have not come to abolish them but to fulfill them.,5,17,[],0,[],[],0,0
17,for truly i tell you until heaven and earth disappear not the smallest letter not the least stroke of a pen will by any means disappear from the law until everything is accomplished.,5,18,"['stroke', 'disappear from']",2,"['stroke', 'disappear from']",[],2,0
18,therefore anyone who sets aside one of the least of these commands and teaches others accordingly will be called least in the kingdom of heaven but whoever practices and teaches these commands will be called great in the kingdom of heaven.,5,19,"['set', 'aside', 'these', 'these', 'great in']",5,"['set', 'aside', 'great in']",[],3,0
19,for i tell you that unless your righteousness surpasses that of the pharisees and the teachers of the law you will certainly not enter the kingdom of heaven.,5,20,"['surpass', 'that']",2,['surpass'],[],1,0
20,you have heard that it was said to the people long ago you shall not murder and anyone who murders will be subject to judgment.,5,21,['to'],1,[],[],0,0
